City,Square Footage,Bedrooms,Bathrooms,Year Built,Last Sold Price,Last Sold Year
Austin,1850,3,2,1998,450000,2018
Austin,2400,4,3,2005,625000,2022
Austin,1200,2,1,1975,285000,2015
Seattle,2800,4,3.5,2010,1200000,2021
Seattle,1600,2,2,1985,750000,2019
Miami,1100,2,2,1992,350000,2017
Miami,2100,3,2.5,2018,650000,2023
Austin,3200,5,4,2015,950000,2020
Austin,1500,3,2,1982,320000,2016
Seattle,1950,3,2.5,1995,925000,2020
Seattle,1400,2,1.5,1978,650000,2018
Miami,950,1,1,2001,290000,2014
Miami,2600,4,3,2022,850000,2024
Austin,2050,3,2.5,2008,580000,2019
Austin,1350,2,2,1989,310000,2017
Seattle,3500,5,4,2019,1600000,2023
Seattle,1700,3,2,1990,810000,2020
Miami,1800,3,2,1999,480000,2021
Miami,1050,2,1,1972,250000,2011
Austin,2200,4,2.5,2003,600000,2021
Austin,1450,2,2,1987,350000,2018
Seattle,3000,4,3,2012,1350000,2022
Seattle,1100,2,1,1970,550000,2016
Miami,2300,4,3.5,2020,780000,2023
Miami,1650,3,2,1995,415000,2019
Austin,2700,4,3.5,2011,720000,2022
Austin,1900,3,2,1993,425000,2018
Seattle,2500,3,2.5,2007,1100000,2020
Seattle,1300,2,1,1980,600000,2017
Miami,1550,3,2,1997,400000,2018
Miami,2900,5,4,2021,950000,2024
Austin,3500,5,4,2017,1100000,2023
Austin,1150,2,1.5,1979,295000,2016
Seattle,3100,4,3,2014,1450000,2021
Seattle,1800,3,2,1999,880000,2020
Miami,2000,3,2.5,2005,550000,2022
Miami,1250,2,1.5,1983,305000,2015
Austin,2650,4,3,2009,680000,2020
Austin,1750,3,2,1991,380000,2019
Seattle,3300,5,4,2016,1550000,2023
Seattle,1500,2,2,1986,700000,2018
Miami,2450,4,3,2013,690000,2022
Miami,1000,1,1,1977,270000,2013
Austin,2950,4,3.5,2013,850000,2022
Austin,1600,3,2,1984,340000,2017
Seattle,3700,5,4.5,2022,1800000,2024
Seattle,2050,3,2.5,2001,980000,2021
Miami,1900,3,2,2008,520000,2020
Miami,1300,2,1,1973,260000,2012
Austin,2350,4,2.5,2006,610000,2021
